id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
53,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301000000001,7.5876499106915025,3940,519.2648641377456
54,CAE,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954,10.967147289651397,5582,508.97465426284344
55,CAK,Akron-Canton Regional Airport,Akron,OH,40.916309999999996,-81.44247,10.846201263676992,6588,607.4015998635996
56,CDC,Cedar City Regional Airport,Cedar City,UT,37.70097,-113.09858,-1.3072,626,-478.88616891064873
57,CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49183000000001,-145.47765,0.21914008321775313,724,3303.8227848101264
58,CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,41.780159999999995,-124.23653,11.695652173913043,190,16.2453531598513
59,CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,35.035270000000004,-85.20379,8.936417452313089,4620,516.9856964106087
60,CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,38.13864,-78.45286,13.772457627118644,2441,177.23779343445221
61,CHS,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051,8.11451512316807,13026,1605.2715168166926
62,CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087,10.773713490959667,7366,683.701121825904
63,CIU,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239,7.622926093514328,671,88.0239414325287
64,CLD,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873000000001,5.359872611464968,640,119.40582293523471
65,CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494,10.215303785531455,37801,3700.4283762505247
66,CLL,Easterwood Airport,College Station,TX,30.588590000000003,-96.36381999999999,4.657224958949097,2531,543.4566769501982
67,CLT,Charlotte Douglas International Airport,Charlotte,NC,35.21400999999999,-80.94313000000002,5.00847793433287,109810,21924.82455543187
68,CMH,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188,10.001312639950584,26371,2636.7538891505246
69,CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806,9.99055330634278,2321,232.31946508172362
70,CMX,Houghton County Memorial Airport,Hancock,MI,47.16842000000001,-88.48906,7.1869565217391305,729,101.43375680580762
71,CNY,Canyonlands Field,Moab,UT,38.75496,-109.75483999999999,-2.9563106796116503,206,-69.68144499178982
72,COD,Yellowstone Regional Airport,Cody,WY,44.52019,-109.0238,4.853197674418604,696,143.41060197663973
73,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025,11.960324983073798,7489,626.1535544057875
74,COU,Columbia Regional Airport,Columbia,MO,38.81809000000001,-92.21963000000001,15.622382671480144,1431,91.59934371678143
75,CPR,Natrona County International Airport,Casper,WY,42.908359999999995,-106.46446999999999,2.1813855103120043,1911,876.0487272727272
76,CRP,Corpus Christi International Airport,Corpus Christi,TX,27.770359999999997,-97.50121999999999,9.448815815228029,5247,555.307681153416
77,CRW,Yeager Airport,Charleston,WV,38.37315,-81.59319,9.348064137661321,2610,279.2021921934485
78,CSG,Columbus Metropolitan Airport,Columbus,GA,32.516329999999996,-84.93885999999998,8.791489361702128,1179,134.10696999031944
79,CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66216999999997,8.861567753320331,21944,2476.311259006943
80,CWA,Central Wisconsin Airport,Mosinee,WI,44.77762,-89.66678,10.343915343915343,1564,151.20000000000002
81,DAB,Daytona Beach International Airport,Daytona Beach,FL,29.17992000000001,-81.05806,7.077066500932256,1613,227.91929393167646
82,DAL,Dallas Love Field,Dallas,TX,32.84711,-96.85177,9.275643816869868,65206,7029.808527296839
83,DAY,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938,9.335481052746532,9425,1009.5891092004446
84,DBQ,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917,8.334368530020704,1015,121.78487144454105
85,DCA,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,8.0706175539422,80586,9985.109498917676
86,DEN,Denver International Airport,Denver,CO,39.85841,-104.667,10.199481106217274,213861,20967.83138013141
87,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,9.714286842520929,260181,26783.33512462775
88,DHN,Dothan Regional Airport,Dothan,AL,31.32134000000001,-85.44963,7.02494497432135,1378,196.15812010443864
89,DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.79739,-102.80195,2.618274111675127,998,381.16711903838694
90,DLG,Dillingham Airport,Dillingham,AK,59.04541,-158.50333999999995,-5.532467532467533,77,-13.917840375586854
91,DLH,Duluth International Airport,Duluth,MN,46.84209,-92.19365,7.204016913319239,1944,269.8494497432135
92,DRO,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75376999999999,5.396294622684139,2246,416.211522358064
93,DSM,Des Moines International Airport,Des Moines,IA,41.534929999999996,-93.66068,11.280830418594155,9098,806.5009101638295
94,DTW,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,8.353432432663459,118278,14159.209516977864
95,DVL,Devils Lake Regional Airport,Devils Lake,ND,48.11425,-98.90878000000001,-0.4146341463414634,574,-1384.3529411764707
96,EAU,Chippewa Valley Regional Airport,Eau Claire,WI,44.86526,-91.48507,8.261055634807418,730,88.36643066827837
97,ECP,Northwest Florida Beaches International Airport,Panama City,FL,30.35531,-85.79911,7.670860927152318,4548,592.8930328930329
98,EGE,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177,16.831829368334702,1246,74.02641583000292
99,EKO,Elko Regional Airport,Elko,NV,40.82493,-115.7917,-1.5190972222222223,584,-384.4388571428571
100,ELM,Elmira/Corning Regional Airport,Elmira,NY,42.159909999999996,-76.89144,7.689623923878568,2247,292.211949796712
101,ELP,El Paso International Airport,El Paso,TX,31.80667,-106.37781000000001,10.710825545171339,12942,1208.3102227199024
102,ERI,Erie International Airport,Erie,PA,42.08202,-80.17622,7.839793281653747,803,102.42617007251154
103,ESC,Delta County Airport,Escanaba,MI,45.72267,-87.09373000000002,5.241435562805873,626,119.43292872704637
104,EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,44.123259999999995,-123.21869,8.596414852752881,3959,460.5408263576514
105,EVV,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063,7.933850254422098,4232,533.4106221177045
106,EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,35.07297,-77.04294,8.611821086261982,630,73.15525876460768
107,EWR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,13.783870101737593,111374,8080.023910408167
108,EYW,Key West International Airport,Key West,FL,24.55611,-81.75956,8.829928741092637,2124,240.54554258352613
109,FAI,Fairbanks International Airport,Fairbanks,AK,64.81368,-147.85967,5.066552901023891,2360,465.7999326372516
110,FAR,Hector International Airport,Fargo,ND,46.91935,-96.81499000000001,8.993307215148548,6219,691.5142395585646
111,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71813999999999,8.91330618678576,7674,860.9599893894514
112,FAY,Fayetteville Regional Airport,Fayetteville,NC,34.99147,-78.88,7.711462450592886,1784,231.34392619169657
113,FCA,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25506999999999,4.372889305816135,2147,490.9797275555079
114,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67121999999999,4.999437570303712,1818,363.6409044886939
115,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275,11.242064502980588,79357,7058.934769406475
