id,destination_airport,destination_airport_name,destination_city,destination_state,destination_latitude,destination_longitude,mean_departure_delay,flight_count,flight_count_delay_ratio
230,ORF,Norfolk International Airport,Norfolk,VA,36.89461,-76.20121999999998,10.48202224870878,10286,981.2991955123042
231,ORH,Worcester Regional Airport,Worcester,MA,42.267340000000004,-71.87571,3.723796033994334,730,196.03651578546976
232,OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,43.41714,-124.24603,18.21967213114754,311,17.06946193989563
233,OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,66.88468,-162.59855,2.062937062937063,725,351.4406779661017
234,PAH,Barkley Regional Airport,Paducah,KY,37.060829999999996,-88.77375,8.041968162083936,728,90.52510347309699
235,PBG,Plattsburgh International Airport,Plattsburgh,NY,44.65191,-73.46571,16.996598639455783,295,17.356413848308986
236,PBI,Palm Beach International Airport,West Palm Beach,FL,26.683159999999997,-80.09559,11.808676446074346,24320,2059.502613274233
237,PDX,Portland International Airport,Portland,OR,45.58872,-122.5975,7.277927884148119,51634,7094.601763293475
238,PHF,Newport News/Williamsburg International Airport,Newport News,VA,37.1319,-76.49299,11.05791788856305,1378,124.61658821189418
239,PHL,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114,9.90949326943407,72087,7274.539478456792
240,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806000000001,7.386485292261078,159600,21607.02874034219
241,PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331,6.989795918367347,5142,735.643795620438
242,PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,31.46715,-89.33706,4.262135922330097,626,146.87471526195898
243,PIH,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586000000002,-2.3314527503526095,711,-304.9600725952813
244,PIT,Pittsburgh International Airport,Pittsburgh,PA,40.49147,-80.23286999999998,9.737678364828383,26251,2695.817115383092
245,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,45.57093,-84.79672,8.92,814,91.25560538116592
246,PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.473309999999998,-87.18744000000002,8.408874114756468,7012,833.8809577009677
247,PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,14.33102,-170.71053,9.224137931034482,116,12.57570093457944
248,PSC,Tri-Cities Airport,Pasco,WA,46.26468,-119.11903000000001,7.169659915934276,2645,368.91568512498
249,PSE,Mercedita Airport,Ponce,PR,18.0083,-66.56300999999999,14.323383084577115,813,56.76033344911428
250,PSG,Petersburg James A. Johnson Airport,Petersburg,AK,56.80165,-132.94528,6.455431754874652,726,112.46343042071197
251,PSP,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625,6.887707225523929,9661,1402.6438237965485
252,PUB,Pueblo Memorial Airport,Pueblo,CO,38.28909,-104.49656999999999,2.4921875,264,105.93103448275862
253,PVD,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822,10.452219145901502,12157,1163.102287686627
254,PWM,Portland International Jetport,Portland,ME,43.64617,-70.30875,11.02635228848821,5159,467.87911949685537
255,RAP,Rapid City Regional Airport,Rapid City,SD,44.045320000000004,-103.05736999999999,7.235124205661467,3505,484.4422708399872
256,RDD,Redding Municipal Airport,Redding,CA,40.50898,-122.2934,8.22568093385214,789,95.91911069063387
257,RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,44.25407,-121.14996000000001,5.415590008613265,2353,434.48636182902584
258,RDU,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747,10.120443925233644,34896,3448.0700903833504
259,RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,45.631190000000004,-89.46745,4.1396702230843845,1042,251.71087160262417
260,RIC,Richmond International Airport,Richmond,VA,37.50517,-77.31967,10.70468787659677,16998,1587.9024401227098
261,RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,41.59422,-109.06518999999999,3.8618331053351573,747,193.43145589798087
262,RNO,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806,9.619813536403102,14154,1471.338290127841
263,ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,37.32547,-79.97543,7.906351791530945,2506,316.9603460706561
264,ROC,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238,10.616228343512402,8184,770.8952497240942
265,ROW,Roswell International Air Center,Roswell,NM,33.301559999999995,-104.53056,8.034516765285996,1065,132.5530870258991
266,RST,Rochester International Airport,Rochester,MN,43.90883,-92.49799,9.890272014753343,2239,226.38406675368262
267,RSW,Southwest Florida International Airport,Ft. Myers,FL,26.536170000000002,-81.75516999999998,9.38480749219563,29127,3103.6331884507913
268,SAF,Santa Fe Municipal Airport,Santa Fe,NM,35.61678,-106.08814,7.408031088082901,1595,215.30687183073965
269,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966,9.069069822735319,76357,8419.496320182701
270,SAT,San Antonio International Airport,San Antonio,TX,29.533690000000004,-98.46978,10.778694650308276,32410,3006.8576067393333
271,SAV,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214,8.273167100855973,8200,991.1560953666217
272,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037,6.025771604938272,6581,1092.142290060696
273,SBN,South Bend International Airport (South Bend Regional),South Bend,IN,41.70895,-86.31846999999998,10.922625288320402,4868,445.68039930888847
274,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,35.23706,-120.64238999999999,5.620565243535779,3381,601.5409222210335
275,SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,70.19476,-148.46516,1.6544671689989237,936,565.7410540013012
276,SCE,University Park Airport,State College,PA,40.851209999999995,-77.8463,9.809424083769633,977,99.59809991460291
277,SDF,Louisville International Airport (Standiford Field),Louisville,KY,38.17439,-85.736,9.351316397228638,11043,1180.9032579918598
278,SEA,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931000000001,5.738309397207176,121261,21131.83371726479
279,SFO,San Francisco International Airport,San Francisco,CA,37.619,-122.37483999999999,13.462473463713389,161964,12030.77580331401
280,SGF,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686,10.690281562216168,6766,632.9112999150382
281,SGU,St. George Regional Airport,St George,UT,37.090579999999996,-113.59306000000001,2.635169277412835,1981,751.7543624161074
282,SHV,Shreveport Regional Airport,Shreveport,LA,32.44663,-93.8256,10.381128015982787,6655,641.0671354552184
283,SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,57.04714,-135.3616,1.7241379310344827,1435,832.3000000000001
284,SJC,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901,8.122701916080524,41629,5125.0187967118445
285,SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,31.35775,-100.49631,6.388856304985337,1776,277.98402643899755
286,SJU,Luis Muñoz Marín International Airport,San Juan,PR,18.439420000000002,-66.00183,11.139287068638604,26529,2381.5707267917874
287,SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97776999999999,4.978540935395124,105900,21271.292407600784
288,SMF,Sacramento International Airport,Sacramento,CA,38.69542,-121.59076999999999,9.408564729112674,40830,4339.662974700148
289,SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758000000001,5.815642458100559,725,124.66378482228626
290,SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822,6.691017637732858,40702,6083.080661821601
291,SPI,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67761999999998,10.454871488344292,1736,166.046995597736
292,SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,33.9888,-98.49189,7.758487654320987,1355,174.64743908503232
293,SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,27.395329999999998,-82.55411,7.944322545255074,3676,462.72038667357157
294,STC,St. Cloud Regional Airport,St Cloud,MN,45.545320000000004,-94.05834,19.467532467532468,82,4.212141427618412
295,STL,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769000000001,-90.35999,9.259703849950641,51241,5533.7622920060385
296,STT,Cyril E. King Airport,Charlotte Amalie,VI,18.337310000000002,-64.97336,10.96165644171779,4585,418.2761998041136
297,STX,Henry E. Rohlsen Airport,Christiansted,VI,17.70189,-64.79856,8.301492537313433,1007,121.3034879539734
298,SUN,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659,4.680788177339902,1021,218.12565775626183
299,SUX,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38436999999999,10.343076923076923,677,65.4544102335267
300,SWF,Stewart International Airport,Newburgh,NY,41.50409000000001,-74.10484,12.063257065948855,752,62.338056454312174
301,SYR,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631,10.209967320261438,6249,612.0489717532208
302,TLH,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033,9.35884749708964,3472,370.98585067014955
303,TOL,Toledo Express Airport,Toledo,OH,41.58681,-83.80783000000002,6.285570131180625,1049,166.8901910419008
304,TPA,Tampa International Airport,Tampa,FL,27.97547,-82.53325,10.311108513995208,69032,6694.915479388396
305,TRI,Tri-Cities Regional Airport,Bristol,TN,36.47521,-82.40742,5.773056494447127,2088,361.6801605888257
306,TTN,Trenton Mercer Airport,Trenton,NJ,40.27669,-74.81347,16.48114135782224,3113,188.88254960100295
307,TUL,Tulsa International Airport,Tulsa,OK,36.198370000000004,-95.88824,10.03452388841031,15288,1523.5401469976425
308,TUS,Tucson International Airport,Tucson,AZ,32.11608,-110.94103,9.601374570446735,16429,1711.1091624910523
309,TVC,Cherry Capital Airport,Traverse City,MI,44.741440000000004,-85.58224,7.399930627818245,2966,400.8145682947408
310,TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,42.4818,-114.48773999999999,-1.7238307349665924,902,-523.2532299741601
311,TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,33.45371,-93.99101999999999,6.150495049504951,1064,172.99420476497102
312,TYR,Tyler Pounds Regional Airport,Tyler,TX,32.35414,-95.40239,7.510078157136981,2526,336.3480308922605
313,TYS,McGhee Tyson Airport,Knoxville,TN,35.81249000000001,-83.99286,11.542077536134,7593,657.8538375114107
314,UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,29.95441,-81.34291,14.067484662576687,169,12.013519406890536
315,VEL,Valdez Airport,Vernal,UT,40.4409,-109.50992,-5.850746268656716,205,-35.03826530612245
316,VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672,8.296551724137931,1023,123.30423940149626
317,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254,9.070009643201542,5284,582.5793144509654
318,WRG,Wrangell Airport,Wrangell,AK,56.48433000000001,-132.36982,6.0125173852573015,726,120.74809160305344
319,WYS,Westerly State Airport,West Yellowstone,MT,44.6884,-111.11764,-1.875,208,-110.93333333333334
320,XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681,10.798996487706974,10224,946.7546370293276
321,YAK,Yakutat Airport,Yakutat,AK,59.50336,-139.66023,-1.1904761904761905,724,-608.16
322,YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597,2.6280667320902844,2055,781.9436146377894
