id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,flight_count_delay_ratio
125,GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,39.122409999999995,-108.52673,1.5103244837758112,3450,2284.27734375
126,GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178,7.771697455559428,2917,375.33627842310625
127,GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009000000002,1.3599369913363086,3909,2874.3978764478766
128,GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.48507,-88.12959000000002,3.613479262672811,5370,1486.102343376375
129,GRI,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861,-0.27492447129909364,691,-2513.4175824175827
130,GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,31.0649,-97.8278,5.0049645390070925,4404,879.9263142978602
131,GRR,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277,1.607694320858414,11773,7322.909490476965
132,GSO,Piedmont Triad International Airport,Greensboro,NC,36.09775,-79.9373,5.542593905031892,7335,1323.3875917448788
133,GSP,Greenville-Spartanburg International Airport,Greer,SC,34.89567,-82.21885999999998,2.655866400228376,7173,2700.8135647874456
134,GST,Gustavus Airport,Gustavus,AK,58.424380000000006,-135.70738,21.763157894736842,77,3.5380894800483675
135,GTF,Great Falls International Airport,Great Falls,MT,47.482,-111.37069,-1.2282099343955013,2156,-1755.4002289202597
136,GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137,7.681,1015,132.14425205051427
137,GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318000000001,8.625,497,57.6231884057971
138,GUM,Guam International Airport,Agana,GU,13.48345,-144.79598000000001,4.575,365,79.78142076502732
139,HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766000000001,8.157223796033994,723,88.63309602361521
140,HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899,-1.2622268470343392,982,-777.9901071723001
141,HLN,Helena Regional Airport,Helena,MT,46.60682,-111.98275,-2.1455128205128204,1576,-734.5563190917239
142,HNL,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,0.5786284711071146,46952,81143.60482498335
143,HOB,Lea County Regional Airport,Hobbs,NM,32.687529999999995,-103.21703000000001,2.756666666666667,624,226.36033857315599
144,HOU,William P. Hobby Airport,Houston,TX,29.64542,-95.27889,7.166540988904449,56641,7903.533948622364
145,HPN,Westchester County Airport,White Plains,NY,41.066959999999995,-73.70756999999998,9.087898089171974,8164,898.3375385477993
146,HRL,Valley International Airport,Harlingen,TX,26.228509999999996,-97.65439,1.3696581196581197,3340,2438.5647425897037
147,HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311,2.904821280133001,4909,1689.9490628129918
148,HYA,Barnstable Municipal Airport,Hyannis,MA,41.66934000000001,-70.28036,8.621951219512194,83,9.626591230551627
149,HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403000000001,2.6721311475409837,626,234.26993865030673
150,IAD,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581,4.505377224587837,37294,8277.664253388182
151,IAG,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538,3.7005988023952097,344,92.957928802589
152,IAH,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,6.920385515135676,159595,23061.576504798388
153,ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305,6.240574296719972,8794,1409.165179656959
154,IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.514559999999996,-112.07016999999999,-2.530502885408079,2448,-967.3966444046262
155,ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653,24.063157894736843,100,4.15573053368329
156,ILM,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256,3.439571150097466,2075,603.2728818362142
157,IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454,-1.3806646525679758,678,-491.06783369803065
158,IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438,1.8575650333831952,27931,15036.351082217072
159,INL,Falls International Airport,International Falls,MN,48.56619,-93.40307,5.161184210526316,627,121.48374760994264
160,ISN,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235,0.4972211930344572,2763,5556.8830104321905
161,ISP,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021,1.8562119895742832,4758,2563.28481160777
162,ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844,7.9,34,4.30379746835443
163,ITO,Hilo International Airport,Hilo,HI,19.72026,-155.04847,0.20850104653034937,6226,29860.76138996139
164,JAC,Jackson Hole Airport,Jackson,WY,43.60732,-110.73773999999999,2.159078289838978,3669,1699.3362479105053
165,JAN,Jackson-Evers International Airport,Jackson,MS,32.311170000000004,-90.07589,3.513116057233704,7751,2206.303427989592
166,JAX,Jacksonville International Airport,Jacksonville,FL,30.494059999999998,-81.68786,3.2917650682821646,19750,5999.820640391784
167,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,3.1818792282635933,101964,32045.213751133957
168,JLN,Joplin Regional Airport,Joplin,MO,37.15181,-94.49826999999999,7.983988355167394,724,90.68149498632634
169,JMS,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782,2.0488997555012225,887,432.91527446300717
170,JNU,Juneau International Airport,Juneau,AK,58.35496,-134.57628,5.5512497133684935,4430,798.0185055144781
171,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,19.738770000000002,-156.04563000000005,-0.3914128806789815,12081,-30865.10586734694
172,KTN,Ketchikan International Airport,Ketchikan,AK,55.35556999999999,-131.71374,3.2533441426834213,2505,769.9769499127834
173,LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,42.7787,-84.58736,5.659237246161466,2071,365.9503763346753
174,LAR,Laramie Regional Airport,Laramie,WY,41.31205,-105.67499,-4.332236842105263,634,-146.34472285497344
175,LAS,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,5.656050779059868,145747,25768.333010656886
176,LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,34.56771,-98.41664,6.5040590405904055,1455,223.70645637126972
177,LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,5.289751401529983,212175,40110.58061039154
