id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,flight_count_delay_ratio
313,TYS,McGhee Tyson Airport,Knoxville,TN,35.81249000000001,-83.99286,7.601898305084746,7592,998.6979166666666
314,UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,29.95441,-81.34291,8.082278481012658,169,20.90994518402506
315,VEL,Valdez Airport,Vernal,UT,40.4409,-109.50992,-7.52,206,-27.393617021276597
316,VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672,7.016781836130306,1023,145.79333145751266
317,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254,5.1731702582022905,5283,1021.2306451007619
318,WRG,Wrangell Airport,Wrangell,AK,56.48433000000001,-132.36982,4.87977369165488,726,148.77739130434782
319,WYS,Westerly State Airport,West Yellowstone,MT,44.6884,-111.11764,-1.8653846153846154,208,-111.50515463917526
320,XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681,10.282364830722587,10224,994.3237930492215
321,YAK,Yakutat Airport,Yakutat,AK,59.50336,-139.66023,-5.34691011235955,724,-135.40530601523508
322,YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597,2.1683899556868536,2054,947.2465940054497
